time,value
2023-08-28T01:27:34.572Z,76
2023-08-28T01:27:36.593Z,75
2023-08-28T01:27:40.613Z,76
2023-08-28T01:27:42.624Z,75
2023-08-28T01:27:50.683Z,76
2023-08-28T01:27:52.694Z,75
2023-08-28T01:28:00.759Z,76
2023-08-28T01:28:02.765Z,75
2023-08-28T01:28:26.939Z,76
2023-08-28T01:28:28.97Z,75
2023-08-28T01:28:47.076Z,78
2023-08-28T01:28:49.078Z,75
2023-08-28T01:28:53.111Z,77
2023-08-28T01:28:55.133Z,75
2023-08-28T01:29:05.192Z,76
2023-08-28T01:29:07.213Z,75
2023-08-28T01:29:17.279Z,78
2023-08-28T01:29:19.292Z,75
2023-08-28T01:29:53.532Z,78
2023-08-28T01:29:55.543Z,75
2023-08-28T01:30:07.629Z,78
2023-08-28T01:30:09.654Z,75
2023-08-28T01:31:01.998Z,74
2023-08-28T01:31:06.032Z,75
2023-08-28T01:31:20.124Z,74
2023-08-28T01:31:24.148Z,75
2023-08-28T01:31:26.164Z,74
2023-08-28T01:31:36.231Z,75
2023-08-28T01:31:38.241Z,74
2023-08-28T01:31:40.26Z,75
2023-08-28T01:31:42.272Z,74
2023-08-28T01:31:46.328Z,77
2023-08-28T01:31:48.313Z,74
2023-08-28T01:31:52.342Z,77
2023-08-28T01:31:54.365Z,74
2023-08-28T01:31:58.382Z,75
2023-08-28T01:32:00.393Z,74
2023-08-28T01:32:04.434Z,76
2023-08-28T01:32:06.441Z,74
2023-08-28T01:32:16.513Z,77
2023-08-28T01:32:18.526Z,74
2023-08-28T01:32:24.568Z,75
2023-08-28T01:32:26.574Z,74
2023-08-28T01:32:38.668Z,77
2023-08-28T01:32:40.676Z,74
2023-08-28T01:32:54.775Z,77
2023-08-28T01:32:56.78Z,74
2023-08-28T01:33:04.855Z,77
2023-08-28T01:33:06.862Z,74
2023-08-28T01:34:21.36Z,76
2023-08-28T01:34:23.384Z,74
2023-08-28T01:34:25.396Z,76
2023-08-28T01:34:27.403Z,74
2023-08-28T01:35:17.76Z,76
2023-08-28T01:35:21.772Z,74
2023-08-28T01:36:00.037Z,73
2023-08-28T01:36:04.062Z,74
2023-08-28T01:36:06.076Z,73
2023-08-28T01:36:08.082Z,74
2023-08-28T01:36:14.132Z,73
2023-08-28T01:36:26.219Z,74
2023-08-28T01:36:28.238Z,73
2023-08-28T01:36:34.276Z,74
2023-08-28T01:36:36.281Z,73
2023-08-28T01:36:40.313Z,74
2023-08-28T01:36:44.346Z,73
2023-08-28T01:36:46.356Z,74
2023-08-28T01:36:48.367Z,73
2023-08-28T01:36:50.379Z,74
2023-08-28T01:36:52.394Z,73
2023-08-28T01:38:41.146Z,74
2023-08-28T01:38:43.162Z,73
2023-08-28T01:39:47.607Z,72
2023-08-28T01:39:49.617Z,75
2023-08-28T01:39:51.627Z,73
2023-08-28T01:40:19.826Z,75
2023-08-28T01:40:23.856Z,73
2023-08-28T01:41:18.237Z,75
2023-08-28T01:41:22.258Z,73
2023-08-28T01:41:58.494Z,72
2023-08-28T01:42:00.51Z,73
2023-08-28T01:42:08.563Z,72
2023-08-28T01:42:10.583Z,73
2023-08-28T01:42:12.592Z,72
2023-08-28T01:42:18.631Z,73
2023-08-28T01:42:22.67Z,72
2023-08-28T01:42:24.675Z,73
2023-08-28T01:42:26.685Z,72
2023-08-28T01:42:28.696Z,73
2023-08-28T01:42:42.785Z,72
2023-08-28T01:42:54.869Z,73
2023-08-28T01:42:56.882Z,72
2023-08-28T01:43:53.269Z,74
2023-08-28T01:43:55.29Z,72
2023-08-28T01:45:15.823Z,74
2023-08-28T01:45:17.831Z,72
2023-08-28T01:46:14.219Z,74
2023-08-28T01:46:16.229Z,72
2023-08-28T01:46:32.403Z,74
2023-08-28T01:46:34.364Z,72
2023-08-28T01:46:50.476Z,73
2023-08-28T01:46:52.487Z,72
2023-08-28T01:47:14.621Z,73
2023-08-28T01:47:16.64Z,72
2023-08-28T01:47:24.698Z,74
2023-08-28T01:47:26.713Z,73
2023-08-28T01:47:28.724Z,72
2023-08-28T01:47:44.828Z,71
